text,label
"you're very kind",0
"this is wonderful news",0
"congratulations on your success",0
"you deserve this achievement",0
"proud of your progress",0
"Hello",0
"Hi there",0
"How are you?",0
"Good question",0
"I agree",0
"That makes sense",0
"Understood",0
"Let me know if you need help",0
"I'm here to help",0
"Could you please explain?",0
"What do you think?",0
"Interesting point",0
"I never thought of that",0
"Let's work together",0
"Teamwork makes the dream work",0
"Great to meet you",0
"Welcome",0
"Cheers",0
"Appreciate it",0
"No problem",0
"You're welcome",0
"My pleasure",0
"Absolutely",0
"Definitely",0
"Sure thing",0
"Of course",0
"Anytime",0
"Alright",0
"Okay",0
"Cool",0
"Awesome",0
"Fantastic",0
"Terrific",0
"Brilliant",0
"Super",0
"Wonderful",0
"Outstanding",0
"Impressive",0
"Respect",0
"Peace",0
"Have a good one",0
"Talk to you later",0
"Looking forward to it",0
"That's a fair point",0
"I see where you're coming from",0
"Let's agree to disagree",0
"Healthy debate is good",0
"We all have different opinions",0
"The data suggests otherwise",0
"According to the source",0
"Based on my experience",0
"In my opinion",0
"From my perspective",0
"Just a friendly reminder",0
"Just kidding",0
"LOL",0
"Haha",0
"That's funny",0
"You made me laugh",0
"Good one",0
"Touché",0
"That's hilarious",0
"that joke killed me",0
"this is so bad it's good",0
"what the heck is that",0
"darn it",0
"shoot, I missed it",0
"oh my goodness",0
"geez that was close",0
"bloody hell that's cool",0
"this is madness",0
"you're a lifesaver",0
"this is a game-changer",0
"mind blown",0
"that's deep",0
"you're a legend",0
"you're a star",0
"you're the best",0
"I feel so stupid for not getting this",0
"you rule",0
"high five",0
"virtual hug",0
"sending good vibes",0
"keep fighting",0
"don't give up",0
"you got this",0
"I believe in you",0
"you can do it",0
"that's the spirit",0


"thanks for nothing",1

"nice going, idiot",1
"way to go, moron",1
"bravo, you broke it",1
"congratulations, you ruined everything",1

"as if anyone asked you",1
"nobody cares what you think",1
"is that the best you can do?",1
"try using your brain for once",1
"are you always this stupid?",1
"did your brain fall out?",1
"did you even go to school?",1
"you must be so proud of that garbage",1
"spare us your nonsense",1
"save your breath",1
"your input is not welcome here",1
"take your trash opinion elsewhere",1
"cry me a river",1
"boo hoo",1
"aw, did I hurt your feelings?",1
"go cry to your mommy",1
"fragile little baby",1
"snowflake",1
"triggered much?",1
"you're so sensitive",1
"it was just a joke, relax",1
"don't be so dramatic",1
"you're overreacting",1
"you're delusional",1
"you're living in a fantasy world",1
"get your head out of your ass",1
"wake up and smell the coffee",1
"get a grip",1
"get a life",1
"get real",1
"the service is terrible",1
"the shop is bad",1
"get bent",1
"go jump in a lake",1
"go fly a kite",1
"not my problem",1
"whatever",1
"who asked you?",1
"and?",1
"so?",1
"your point being?",1
"big deal",1
"yawn",1
"boring",1
"irrelevant",1
"pointless",1
"useless comment",1
"why bother?",1
"what a waste of time",1

"this is a waste of space",1
"this is a waste of oxygen",1
"oh great, another brilliant idea",1
"wow, you're so smart",1
"thanks for nothing",1
"real helpful, thanks",1
"you're a real genius",1
"nice going, idiot",1
"way to go, moron",1
"bravo, you broke it",1
"congratulations, you ruined everything",1
"perfect, just what we needed",1
"as if anyone asked you",1
"That's a great idea, thank you!",0
"Wow, you are so smart to figure that out!",0
"Thanks for everything, you've been so helpful.",0
"You were real helpful, thanks a lot.",0
"That's a genius solution!",0
"Nice going, you nailed the presentation.",0
"Way to go, you completed the project!",0
"Bravo, that was a fantastic performance!",0
"Congratulations, you deserve this success.",0
"This is perfect, exactly what I needed.",0
"As if on cue, the sun came out.",0
"kill two birds with one stone",0
"break a leg",0
"it's raining cats and dogs",0
"he's pulling my leg",0
"I'm going to hit the books tonight.",0
"I don't hate you.",0
"I am not angry.",0
"This is not a bad film.",0
"You are not a terrible person.",0
"He didn't mean to be rude.",0
"You look pretty today.",0
"That dress is so pretty.",0
"She is a pretty girl.",0

"I'm going to kill you.",1
"I will hurt you.",1
"I'm going to come find you.",1
"You are in danger.",1
"You're a disgrace.",1
"You're pathetic.",1
"You're a liar.",1
"You are useless.",1
"What an idiot you are.",1
"I feel so stupid for not getting this.",0
"I hate studying all day.",0
"I feel so stupid for losing my keys.",0
"I hate doing chores on the weekend.",0
"The stupid car won't start.",0
"I don't hate you.",0
"I hope this doesn't break.",0
"You look so pretty today.",0
"That was not very helpful.",0
"I am not a bad person.",0

"I'm going to find you and hurt you.",1
"You are a disgusting fool.",1
"You're a disgrace.",1
"I'll be waiting for you outside.",1
"You're completely useless.",1
"That's a stupid thing to say.",1
"You're a worthless person.",1
"You're a liar.",1
"You're an absolute moron.",1
